"YEAR","WEEK","ALABAMA","ALASKA","ARIZONA","ARKANSAS","CALIFORNIA","COLORADO","CONNECTICUT","DELAWARE","DISTRICT.OF.COLUMBIA","FLORIDA","GEORGIA","HAWAII","IDAHO","ILLINOIS","INDIANA","IOWA","KANSAS","KENTUCKY","LOUISIANA","MAINE","MARYLAND","MASSACHUSETTS","MICHIGAN","MINNESOTA","MISSISSIPPI","MISSOURI","MONTANA","NEBRASKA","NEVADA","NEW.HAMPSHIRE","NEW.JERSEY","NEW.MEXICO","NEW.YORK","NORTH.CAROLINA","NORTH.DAKOTA","OHIO","OKLAHOMA","OREGON","PENNSYLVANIA","RHODE.ISLAND","SOUTH.CAROLINA","SOUTH.DAKOTA","TENNESSEE","TEXAS","UTAH","VERMONT","VIRGINIA","WASHINGTON","WEST.VIRGINIA","WISCONSIN","WYOMING","PUERTO.RICO","TIME"
2006,"01",0,7,334,0,553,0,0,78,0,415,0,0,0,371,93,97,0,162,22,0,381,208,268,0,0,174,0,0,0,21,0,0,0,0,0,4,117,0,253,70,0,0,0,0,15,0,0,0,59,17,28,0,2006-01-02
2006,"02",0,5,0,190,684,35,10,72,0,437,0,0,0,568,0,0,0,244,39,0,69,265,547,0,0,322,0,10,0,19,5,0,0,1078,29,131,199,138,572,74,0,0,428,0,38,10,0,293,122,44,3,55,2006-01-09
2006,"03",0,18,279,122,1226,63,4,41,0,473,0,1,0,630,255,88,197,226,38,14,227,245,533,0,0,314,0,13,0,24,76,0,0,317,6,117,193,178,381,57,212,0,414,510,13,36,426,218,46,117,0,0,2006-01-16
2006,"04",0,56,516,139,1233,124,9,74,0,609,113,0,0,0,379,0,274,163,71,38,408,235,844,0,0,281,0,0,323,26,123,0,0,761,28,69,115,204,453,65,0,120,599,744,38,29,715,485,67,81,24,104,2006-01-23
2006,"05",381,63,327,177,1011,0,0,80,0,815,0,0,0,855,351,140,262,199,67,40,284,321,628,0,0,233,0,99,39,18,85,0,0,1743,13,70,274,183,542,67,0,0,539,0,0,18,515,436,79,121,25,0,2006-01-30
2006,"06",405,66,353,104,998,143,0,76,0,695,0,0,0,626,375,197,237,204,36,35,300,395,302,0,0,256,0,57,12,28,142,0,0,0,35,30,274,0,425,54,0,68,448,789,10,28,568,280,54,87,39,126,2006-02-06
2006,"07",0,67,71,210,1298,0,0,61,0,808,4,0,0,0,342,0,0,177,7,0,387,273,458,0,260,245,0,74,0,1,53,0,0,694,1,146,0,0,312,59,204,55,510,0,5,27,491,361,80,97,0,0,2006-02-13
2006,"08",346,83,211,143,1007,0,108,67,0,724,0,0,0,154,391,167,167,67,66,37,194,203,388,0,0,198,85,44,0,42,43,0,0,633,19,80,161,174,448,68,308,41,0,0,1,4,424,228,58,169,10,0,2006-02-20
2006,"09",397,75,538,191,1525,0,109,80,0,759,12,9,0,786,356,0,171,67,17,50,319,457,546,1,285,216,82,0,0,10,112,58,0,634,34,51,175,190,647,56,453,59,517,967,0,28,448,604,73,92,17,0,2006-02-27
2006,"10",232,41,468,175,812,0,0,90,0,664,43,0,0,701,341,1,0,212,267,46,280,314,1007,0,0,223,52,85,0,30,132,0,0,776,0,87,143,199,611,67,180,53,483,0,0,0,539,352,74,19,34,102,2006-03-06
2006,"11",619,63,100,113,1349,0,0,67,39,793,21,0,0,596,321,114,146,91,235,37,466,196,1108,0,544,181,51,0,16,5,163,0,0,579,17,33,208,243,608,51,147,62,522,0,2,0,425,374,89,141,0,100,2006-03-13
2006,"12",438,50,280,197,1214,125,0,78,25,653,8,0,0,501,269,92,164,251,288,33,396,309,1475,1,0,281,0,90,0,26,155,0,0,828,0,51,246,205,533,0,316,33,433,802,0,36,0,460,67,161,0,0,2006-03-20
2006,"13",398,77,320,130,1137,0,0,84,32,674,14,0,0,422,319,105,216,280,267,0,195,358,1206,1,0,208,10,175,0,19,150,0,0,555,0,97,195,278,626,74,1306,61,506,0,25,16,480,292,89,92,0,39,2006-03-27
2006,"14",0,41,345,0,1142,132,64,60,35,579,21,0,0,610,177,115,172,214,104,61,344,418,1024,0,0,202,35,0,0,0,0,122,0,655,0,0,203,121,480,79,541,35,483,1130,0,26,387,414,66,126,0,0,2006-04-03
2006,"15",38,71,358,169,1283,0,0,49,30,608,5,0,0,559,299,115,141,229,195,40,0,296,765,0,0,148,51,94,0,35,214,0,0,423,26,103,253,158,570,55,249,71,64,0,68,28,321,193,55,147,3,58,2006-04-10
2006,"16",177,61,392,130,1411,204,270,58,18,671,40,0,0,455,373,109,151,336,240,35,310,276,614,0,0,206,14,117,0,2,184,0,0,378,8,52,0,196,477,69,734,36,529,0,55,26,323,416,72,0,21,35,2006-04-17
2006,"17",0,56,397,155,1540,0,0,64,40,696,1,0,0,976,0,119,156,217,164,38,298,306,542,0,324,201,31,83,4,18,193,0,0,0,0,121,235,241,526,57,388,85,472,1040,5,21,507,356,72,27,10,0,2006-04-24
2006,"18",0,77,379,161,1222,0,327,68,0,745,0,0,52,0,331,0,138,163,0,0,0,274,427,0,186,0,3,70,0,40,92,0,0,1772,18,38,266,150,468,72,286,57,0,475,21,12,361,356,37,11,47,162,2006-05-01
