"YEAR","WEEK","ALABAMA","ALASKA","ARIZONA","ARKANSAS","CALIFORNIA","COLORADO","CONNECTICUT","DELAWARE","DISTRICT.OF.COLUMBIA","FLORIDA","GEORGIA","HAWAII","IDAHO","ILLINOIS","INDIANA","IOWA","KANSAS","KENTUCKY","LOUISIANA","MAINE","MARYLAND","MASSACHUSETTS","MICHIGAN","MINNESOTA","MISSISSIPPI","MISSOURI","MONTANA","NEBRASKA","NEVADA","NEW.HAMPSHIRE","NEW.JERSEY","NEW.MEXICO","NEW.YORK","NORTH.CAROLINA","NORTH.DAKOTA","OHIO","OKLAHOMA","OREGON","PENNSYLVANIA","RHODE.ISLAND","SOUTH.CAROLINA","SOUTH.DAKOTA","TENNESSEE","TEXAS","UTAH","VERMONT","VIRGINIA","WASHINGTON","WEST.VIRGINIA","WISCONSIN","WYOMING","PUERTO.RICO","TIME"
1966,"01",5,0,6,11,89,1,9,3,0,7,4,3,2,6,2,12,6,26,1,6,9,10,84,3,1,5,2,0,3,3,21,13,0,8,1,40,0,14,26,6,4,0,93,62,1,0,11,5,1,15,1,0,1966-01-03
1966,"01",5,0,6,11,89,1,9,3,0,7,4,3,2,6,2,12,6,26,1,6,9,10,84,3,1,5,2,0,3,3,21,13,0,8,1,40,0,14,26,6,4,0,93,62,1,0,11,5,1,15,1,0,1966-01-03
1966,"02",3,6,25,6,122,3,8,3,0,11,0,1,2,28,8,5,4,23,8,17,10,10,47,3,9,5,0,0,4,1,25,15,0,14,1,25,0,19,38,0,2,0,32,40,4,0,12,9,4,9,0,4,1966-01-10
1966,"03",2,0,9,2,98,0,5,2,0,18,0,2,0,24,10,4,8,17,10,14,6,17,71,2,4,5,2,4,1,0,10,13,0,13,0,23,1,14,39,1,1,0,39,51,6,0,14,9,3,10,1,6,1966-01-17
1966,"04",4,1,18,9,132,5,4,1,0,11,2,0,1,33,19,2,3,18,5,7,8,18,71,11,11,6,0,0,0,2,18,21,0,11,1,29,0,21,66,4,3,1,26,41,19,0,10,6,9,3,2,10,1966-01-24
1966,"05",7,1,12,9,130,7,1,2,0,18,0,0,5,30,15,21,9,44,9,4,7,13,50,13,10,5,1,0,2,0,15,23,0,9,2,45,1,24,30,1,2,0,19,39,1,1,29,13,4,5,0,20,1966-01-31
1966,"06",4,1,9,8,143,15,1,1,1,12,0,0,0,24,14,4,9,26,6,10,16,8,46,9,9,6,3,0,0,3,14,13,0,13,1,30,4,29,44,8,1,0,27,46,4,0,9,18,6,7,2,9,1966-02-07
1966,"07",0,3,8,6,149,8,4,2,0,11,3,2,5,18,10,4,3,20,9,6,20,6,81,4,8,29,0,0,0,3,12,20,0,7,0,27,0,9,36,0,4,2,23,36,7,2,15,10,15,11,3,8,1966-02-14
1966,"08",16,0,12,7,101,11,9,1,0,19,5,0,3,17,10,6,4,81,6,8,9,6,64,15,3,66,0,0,0,1,6,15,0,8,0,43,1,14,54,0,0,1,19,36,5,0,16,11,6,10,0,21,1966-02-21
1966,"09",3,2,6,8,101,8,1,0,0,22,3,0,1,47,7,15,1,47,11,9,18,8,115,5,6,16,4,0,0,3,19,7,0,11,0,36,0,10,50,2,2,0,28,51,2,2,22,5,6,8,4,12,1966-02-28
1966,"10",14,11,7,9,106,14,3,0,1,20,3,1,4,22,12,10,4,32,7,3,23,10,80,9,5,13,0,1,0,4,24,9,0,8,0,45,0,5,35,0,4,0,28,42,2,3,23,10,11,7,1,26,1966-03-07
1966,"11",7,1,2,4,112,4,6,2,0,19,15,2,0,17,9,16,13,32,6,1,17,2,73,8,5,45,1,1,0,1,16,8,0,10,1,38,3,12,34,3,1,0,14,43,1,0,25,20,2,11,0,6,1966-03-14
1966,"12",8,0,12,12,93,4,2,1,2,17,2,1,0,41,9,20,8,36,11,2,19,10,57,7,5,12,2,0,0,0,12,1,0,13,0,32,7,46,33,2,1,0,28,35,3,1,6,5,7,2,0,26,1966-03-21
1966,"13",6,3,5,16,102,4,7,3,0,22,10,3,3,14,19,6,4,22,11,4,17,12,64,6,7,20,2,1,2,1,14,5,0,2,0,17,3,11,42,9,0,0,37,33,5,0,13,5,3,2,3,39,1966-03-28
1966,"14",6,0,8,1,101,11,6,3,3,16,13,0,1,26,8,19,6,17,3,1,18,12,62,7,4,29,0,3,0,4,15,8,0,5,3,33,6,9,26,4,1,0,16,29,7,1,7,5,2,8,3,18,1966-04-04
1966,"15",7,1,5,10,86,21,4,1,0,12,15,2,3,16,10,5,0,18,8,0,21,12,73,2,2,6,2,1,0,1,15,5,0,4,2,44,1,10,40,1,0,0,23,37,1,0,16,13,2,4,1,42,1966-04-11
1966,"16",19,1,3,9,110,0,4,0,0,15,16,4,2,4,11,5,3,35,10,3,31,27,41,1,10,28,3,0,1,1,19,6,0,12,2,30,1,18,27,0,1,0,17,38,2,0,8,13,8,6,0,29,1966-04-18
1966,"17",4,1,0,9,78,2,5,0,1,12,12,1,1,62,5,9,3,8,14,0,21,18,60,6,4,4,0,2,0,2,13,8,0,8,0,29,1,11,27,0,1,0,8,21,3,0,14,7,1,7,0,22,1966-04-25
1966,"18",17,0,5,7,96,0,4,4,1,26,11,1,4,26,2,16,5,11,15,4,13,20,27,5,7,17,1,5,0,0,38,8,0,10,0,19,0,18,38,3,1,1,24,35,1,0,7,5,0,6,0,24,1966-05-02
1966,"19",4,2,9,9,126,4,7,2,0,12,10,1,3,17,5,13,3,19,14,8,12,14,68,7,6,9,1,0,0,0,21,6,0,4,0,33,0,14,30,9,7,0,20,38,2,1,5,10,5,4,1,20,1966-05-09
1966,"20",11,0,4,5,106,7,2,0,2,19,5,2,0,7,11,13,2,9,6,2,29,16,39,6,2,19,4,3,0,0,27,1,0,7,0,47,1,19,34,0,1,1,16,35,0,0,9,10,5,4,1,22,1966-05-16
1966,"21",5,4,1,6,124,8,3,0,1,21,15,0,1,15,12,17,2,27,10,2,33,5,49,3,16,107,4,1,0,1,26,5,0,11,0,36,3,13,32,3,0,1,14,21,0,0,8,7,3,4,0,21,1966-05-23
1966,"22",3,1,3,4,106,5,4,0,0,9,7,0,0,13,13,17,2,12,8,5,25,6,28,3,1,7,1,2,0,1,25,3,0,1,1,14,3,8,31,4,1,0,24,36,3,1,7,13,4,3,1,36,1966-05-30
1966,"23",9,0,5,1,107,9,8,2,1,12,12,0,0,33,5,10,3,18,8,4,18,7,44,4,11,12,5,3,0,0,10,6,0,5,1,31,0,30,30,4,0,0,15,22,1,2,19,14,5,2,0,12,1966-06-06
1966,"24",3,6,8,3,121,2,2,0,1,12,15,4,14,38,11,13,1,18,11,3,21,6,39,2,13,21,1,0,0,1,12,5,0,6,0,17,2,16,16,3,2,0,14,26,6,0,12,11,4,3,1,27,1966-06-13
1966,"25",10,0,3,1,128,4,5,3,0,12,6,0,2,12,8,9,0,11,3,3,19,9,27,6,4,25,0,0,0,1,20,4,0,7,1,23,4,13,36,1,2,0,9,25,5,0,4,5,9,5,3,32,1966-06-20
1966,"26",0,1,2,4,140,6,8,3,0,18,6,0,4,18,4,8,4,6,7,6,11,8,23,4,9,9,0,0,0,1,12,3,0,7,0,9,0,9,23,1,1,1,11,32,1,0,15,7,5,3,1,20,1966-06-27
1966,"27",7,1,5,1,119,1,5,1,1,6,0,0,2,5,9,7,4,13,7,3,9,5,30,5,6,6,1,0,0,0,13,3,0,3,0,19,1,13,14,1,0,0,15,21,1,0,3,12,2,4,0,14,1966-07-04
1966,"28",2,10,7,10,92,5,3,0,0,4,7,4,2,9,9,11,3,17,18,3,5,5,48,1,5,7,1,1,0,0,12,10,0,5,1,19,1,11,17,2,3,0,10,37,1,0,8,17,4,5,0,37,1966-07-11
1966,"29",2,0,5,7,164,0,6,1,1,27,7,1,2,11,9,7,2,7,13,3,22,9,34,5,10,29,0,1,0,1,16,3,0,4,0,26,1,13,14,3,3,0,26,31,1,0,0,18,4,3,1,15,1966-07-18
1966,"30",2,1,9,4,126,22,6,0,0,5,5,0,6,6,2,6,4,8,6,2,7,5,45,9,9,10,2,0,0,4,8,3,0,8,0,16,2,31,28,1,2,1,15,31,0,1,6,15,2,10,0,16,1966-07-25
1966,"31",1,0,11,8,108,8,10,0,0,15,12,2,0,7,3,12,2,5,8,6,6,17,30,2,6,33,4,3,0,1,11,6,0,12,0,8,4,23,27,5,1,0,14,23,7,0,12,26,3,6,1,32,1966-08-01
1966,"32",6,0,7,3,120,5,4,0,0,10,15,2,0,7,8,16,4,7,6,7,14,2,27,1,8,19,0,0,0,0,18,4,0,8,1,29,1,24,26,2,1,0,8,32,1,1,9,9,0,3,0,22,1966-08-08
1966,"33",5,3,8,4,119,2,14,1,0,11,7,1,1,50,7,11,0,9,18,3,14,2,66,5,7,11,2,0,0,0,9,8,0,8,0,27,1,24,23,3,1,1,17,38,3,0,7,17,5,2,1,21,1966-08-15
1966,"34",5,3,4,5,110,3,9,1,1,11,6,0,1,21,3,8,6,13,11,3,9,9,52,3,15,12,4,1,0,2,15,3,0,7,0,16,0,19,26,0,3,1,12,37,0,1,5,15,2,6,1,36,1966-08-22
1966,"35",4,0,7,7,98,5,7,2,1,7,8,0,1,16,11,3,0,9,7,3,14,12,34,7,6,3,0,0,0,1,10,1,0,8,0,19,0,28,40,2,0,0,14,34,6,0,6,11,1,4,1,18,1966-08-29
1966,"36",3,6,0,5,88,1,6,2,1,5,6,0,2,16,6,19,0,6,5,2,10,7,19,4,4,13,1,0,0,0,13,8,0,12,2,21,0,10,19,3,1,0,10,24,2,0,18,9,4,7,2,15,1966-09-05
1966,"37",5,3,16,3,112,11,3,0,1,7,5,2,1,21,10,5,2,10,3,6,17,6,41,12,10,4,0,1,0,0,11,7,0,4,0,11,1,40,25,2,1,0,10,32,6,0,14,11,2,4,2,19,1966-09-12
1966,"38",3,1,12,5,128,3,7,2,0,15,2,1,4,19,11,32,3,19,7,12,17,15,27,4,2,4,0,3,3,1,19,4,0,10,1,25,3,18,34,2,1,0,14,25,2,0,4,9,2,4,0,27,1966-09-19
1966,"39",8,0,6,8,131,4,9,3,0,7,4,0,10,26,4,3,0,11,4,3,14,3,35,6,5,22,2,0,0,0,26,2,0,4,0,26,0,36,29,4,4,0,8,35,2,1,17,7,7,3,0,19,1966-09-26
1966,"40",6,1,13,3,114,2,5,2,1,15,3,2,3,33,14,9,3,14,5,7,10,6,42,7,3,10,4,3,3,1,26,12,0,8,0,23,2,29,28,3,3,0,8,43,1,0,9,5,6,1,2,16,1966-10-03
1966,"41",7,3,5,8,112,3,4,0,0,10,11,0,1,19,6,9,3,13,4,5,9,10,52,11,2,12,2,0,0,1,15,21,0,5,4,26,0,20,31,3,0,2,20,38,3,0,6,4,3,8,0,31,1966-10-10
1966,"42",4,1,1,5,145,16,4,1,2,21,7,0,3,22,8,13,4,8,6,9,14,7,47,5,7,28,7,5,1,3,17,10,0,9,0,27,2,32,26,3,2,0,19,23,0,0,9,22,4,10,0,18,1966-10-17
1966,"43",10,5,10,7,121,4,12,0,2,10,32,1,7,28,6,3,4,19,12,5,26,16,46,4,1,31,3,0,0,0,32,11,0,11,3,22,3,17,31,0,4,1,8,30,4,0,5,24,6,9,2,24,1966-10-24
1966,"44",7,1,8,8,131,5,4,1,1,5,9,6,8,14,10,8,9,18,3,14,14,12,43,0,3,6,1,0,0,0,29,12,0,12,2,22,0,34,22,1,0,0,10,44,2,0,13,0,9,4,7,12,1966-10-31
1966,"45",5,0,11,3,133,1,13,0,2,9,7,0,10,21,9,7,0,14,4,7,15,9,34,3,3,30,1,1,0,2,19,9,0,8,2,24,2,24,28,1,4,0,10,41,1,1,8,0,4,6,0,33,1966-11-07
1966,"46",12,2,11,5,113,7,20,1,3,6,4,2,3,32,16,14,2,16,12,9,17,11,39,7,10,6,4,0,0,0,24,2,0,6,0,25,8,22,38,2,1,0,21,49,3,2,20,15,13,9,0,16,1966-11-14
1966,"47",5,0,7,2,114,5,10,1,3,4,101,2,10,9,11,10,2,10,4,11,16,15,55,1,7,16,3,0,0,1,33,20,0,6,0,18,3,37,21,11,0,0,11,16,3,0,9,8,4,10,2,23,1966-11-21
1966,"48",12,1,9,3,115,6,7,2,0,10,12,0,24,25,13,12,3,24,3,3,20,13,54,7,9,4,11,0,1,0,29,26,0,4,0,16,8,27,34,4,1,0,26,41,3,1,7,22,4,25,2,23,1966-11-28
1966,"49",4,1,10,3,115,5,11,4,2,10,26,0,2,24,2,1,2,13,14,10,16,25,39,9,4,30,4,1,0,1,24,19,0,5,8,31,5,21,19,1,3,0,26,44,10,0,14,17,5,33,0,28,1966-12-05
