"YEAR","WEEK","ALABAMA","ALASKA","ARIZONA","ARKANSAS","CALIFORNIA","COLORADO","CONNECTICUT","DELAWARE","DISTRICT.OF.COLUMBIA","FLORIDA","GEORGIA","HAWAII","IDAHO","ILLINOIS","INDIANA","IOWA","KANSAS","KENTUCKY","LOUISIANA","MAINE","MARYLAND","MASSACHUSETTS","MICHIGAN","MINNESOTA","MISSISSIPPI","MISSOURI","MONTANA","NEBRASKA","NEVADA","NEW.HAMPSHIRE","NEW.JERSEY","NEW.MEXICO","NEW.YORK","NORTH.CAROLINA","NORTH.DAKOTA","OHIO","OKLAHOMA","OREGON","PENNSYLVANIA","RHODE.ISLAND","SOUTH.CAROLINA","SOUTH.DAKOTA","TENNESSEE","TEXAS","UTAH","VERMONT","VIRGINIA","WASHINGTON","WEST.VIRGINIA","WISCONSIN","WYOMING","PUERTO.RICO","TIME"
1968,"01",39,7,19,0,247,0,0,9,1,36,0,13,3,72,57,351,0,107,0,25,8,212,176,2,10,12,3,15,0,0,195,5,0,0,37,152,1,15,0,80,4,0,17,81,2,77,22,234,129,0,23,0,1968-01-08
1968,"02",14,7,38,0,480,0,144,1,15,30,0,49,31,68,149,0,37,160,0,37,51,271,693,5,27,4,15,39,0,10,145,16,0,0,23,56,4,33,0,50,4,0,120,248,12,29,27,259,351,645,27,16,1968-01-15
1968,"03",14,9,40,0,486,0,124,9,0,80,0,11,0,237,125,617,20,99,2,20,39,293,610,26,12,17,20,10,0,7,205,49,0,0,83,293,3,19,0,55,3,0,147,181,2,57,101,258,160,786,16,25,1968-01-22
1968,"04",29,30,27,0,631,0,93,11,9,46,90,20,14,176,85,297,0,38,1,22,21,265,375,2,40,1,18,6,0,4,222,22,0,0,29,75,4,40,0,53,1,0,186,285,4,28,29,255,116,576,19,11,1968-01-29
1968,"05",69,6,39,0,523,117,145,6,3,81,0,24,0,146,207,440,30,117,8,61,31,490,496,11,0,16,43,13,31,10,0,31,0,0,43,115,0,19,0,57,3,0,158,311,7,83,29,356,156,0,150,11,1968-02-05
1968,"06",9,18,53,0,473,362,68,7,8,18,0,74,17,171,94,589,43,79,1,45,42,371,689,16,12,71,16,21,8,8,170,21,0,0,51,63,0,11,0,0,3,0,136,421,14,65,38,203,140,603,30,14,1968-02-12
1968,"07",24,27,47,2,483,41,209,18,13,76,0,10,8,241,51,491,40,0,4,38,22,418,424,33,18,4,44,17,0,19,126,17,0,0,29,33,1,25,0,132,7,0,120,353,4,67,60,319,97,553,2,5,1968-02-19
1968,"08",47,25,64,0,399,169,92,7,9,80,1,13,26,439,204,463,0,98,0,38,58,382,673,16,4,6,17,10,0,11,123,34,0,0,33,121,8,48,0,40,1,0,148,332,1,34,19,335,80,363,4,17,1968-02-26
1968,"09",30,8,59,1,449,111,79,12,9,60,0,0,36,213,185,399,77,549,1,38,23,0,772,66,3,23,6,15,0,9,110,60,0,0,32,71,1,19,0,21,7,0,178,443,29,23,31,0,89,558,33,13,1968-03-04
1968,"10",16,16,0,0,761,136,120,0,20,55,0,45,18,141,133,605,35,0,2,48,0,287,553,19,13,103,39,31,10,33,263,13,0,0,60,49,0,36,0,0,3,0,1778,440,3,51,130,199,100,572,19,28,1968-03-11
1968,"11",22,6,119,0,584,144,95,44,5,47,0,56,9,264,175,694,69,103,1,48,23,369,547,45,2,39,11,18,0,17,161,23,0,0,65,162,6,17,0,122,16,0,158,373,6,26,30,193,97,550,28,8,1968-03-18
1968,"12",9,39,51,0,620,102,230,10,0,124,0,18,7,300,149,479,11,152,0,6,52,0,715,6,8,0,13,21,7,22,91,17,0,0,35,81,0,38,0,28,2,0,117,530,21,19,60,249,148,569,8,16,1968-03-25
1968,"13",19,33,68,0,493,114,107,13,14,86,0,22,20,194,180,450,111,19,0,14,34,302,514,75,53,9,5,30,14,8,125,57,0,0,70,36,6,39,0,56,9,0,198,516,17,0,61,201,124,525,5,27,1968-04-01
1968,"14",9,30,101,0,529,115,132,11,13,86,0,49,31,135,214,557,53,52,1,13,40,335,598,29,10,2,6,28,80,4,140,47,0,0,44,113,0,21,0,49,16,0,152,545,35,52,31,195,96,0,3,11,1968-04-08
1968,"15",14,35,78,0,609,96,218,5,2,140,0,12,16,241,170,443,0,64,1,1,33,335,683,0,4,1,30,54,18,8,101,16,0,0,24,52,4,10,0,38,1,0,94,438,12,27,30,245,55,528,11,33,1968-04-15
1968,"16",6,2,56,0,342,81,106,13,0,36,0,20,6,277,142,271,34,47,0,18,21,207,464,25,6,5,9,11,0,1,130,6,0,0,92,229,3,2,0,67,4,0,156,492,18,26,22,182,75,458,1,38,1968-04-22
1968,"17",17,7,42,2,508,110,94,5,16,117,0,56,7,107,129,444,3,18,0,17,48,159,334,19,2,1,8,17,10,5,46,20,0,0,92,142,2,36,0,42,7,0,89,434,2,20,54,274,72,498,0,40,1968-04-29
1968,"18",20,10,45,1,663,103,80,6,0,66,0,23,12,159,216,305,44,157,0,9,35,276,508,27,0,16,14,24,4,2,68,19,0,0,73,89,7,42,0,39,8,0,156,409,34,36,10,279,48,607,10,17,1968-05-06
1968,"19",15,6,89,3,0,75,191,4,1,44,0,22,14,193,183,361,3,57,1,23,29,238,706,18,0,8,28,5,0,6,72,6,0,0,56,39,1,33,0,114,18,0,150,353,13,4,41,231,65,444,2,16,1968-05-13
1968,"20",10,9,65,1,647,54,106,13,11,63,0,81,9,89,216,356,35,27,1,3,40,201,404,3,0,155,17,28,0,4,135,70,0,0,42,37,1,16,0,24,0,0,114,438,10,28,36,132,51,434,0,26,1968-05-20
1968,"21",4,13,68,0,479,68,95,7,12,129,0,16,9,186,86,317,0,16,1,5,43,183,443,43,0,8,17,41,0,11,145,70,0,0,28,68,20,58,0,24,0,0,153,322,25,9,17,263,51,487,0,44,1968-05-27
1968,"22",2,16,67,0,488,94,79,5,0,29,0,20,1,66,81,274,0,29,8,2,27,170,371,25,2,116,9,25,0,15,40,17,0,0,18,48,13,25,0,28,6,0,57,249,13,3,29,173,38,446,0,8,1968-06-03
1968,"23",18,13,43,1,511,28,61,0,3,35,0,12,3,74,22,198,0,47,0,5,19,190,303,19,0,0,10,32,0,2,64,10,0,0,0,23,0,61,0,18,2,0,161,342,42,5,50,69,66,317,4,16,1968-06-10
1968,"24",14,9,81,0,445,41,105,13,6,60,0,60,4,136,51,135,0,16,2,9,35,177,343,35,3,13,6,0,0,4,64,14,0,0,0,27,1,15,0,36,5,0,104,251,14,17,30,86,42,314,0,20,1968-06-17
1968,"25",9,5,40,0,489,16,71,5,10,54,0,11,4,62,48,0,13,73,1,13,29,119,0,25,0,2,8,1,0,1,98,1,0,0,0,53,0,10,0,32,0,0,118,207,21,11,22,10,45,272,0,18,1968-06-24
1968,"26",7,16,30,2,179,17,72,6,8,26,0,12,12,72,32,54,1,13,3,9,3,198,118,1,4,4,13,0,0,0,37,13,0,0,0,67,1,19,0,51,2,0,79,145,7,5,52,17,33,262,0,23,1968-07-01
1968,"27",4,9,48,0,116,12,25,4,0,26,0,3,14,24,0,19,0,42,0,12,15,105,49,2,0,0,3,0,0,2,7,0,0,0,0,18,0,20,0,40,2,0,53,121,10,3,17,12,19,215,2,14,1968-07-08
1968,"28",8,4,47,0,121,36,29,4,9,16,0,26,21,24,18,39,2,2,0,5,27,88,49,0,0,1,5,0,0,2,25,3,0,0,0,31,0,15,0,29,1,0,67,126,37,0,4,5,25,218,0,34,1968-07-15
1968,"29",11,11,24,0,127,23,12,3,0,19,0,8,7,21,0,19,0,5,0,0,17,83,25,0,0,9,6,4,0,1,18,5,0,0,9,13,0,15,0,16,0,0,69,0,39,0,17,12,39,176,0,12,1968-07-22
1968,"30",5,19,28,0,76,17,16,1,8,30,0,25,12,26,20,24,1,26,0,11,15,50,32,1,0,3,4,0,0,0,6,2,0,0,6,16,0,13,0,9,0,0,62,89,4,3,7,5,16,136,1,0,1968-07-29
1968,"31",4,4,12,0,108,38,26,4,3,22,0,37,1,14,17,13,0,38,0,5,17,86,39,1,0,4,10,0,0,2,18,3,0,0,5,17,0,7,0,5,1,0,34,101,24,14,9,8,35,103,0,20,1968-08-05
1968,"32",5,10,19,1,101,10,17,9,0,19,0,12,3,9,16,8,0,8,0,1,6,48,20,2,1,0,0,0,0,2,2,8,0,0,0,12,2,23,0,8,0,0,24,100,0,6,2,18,24,91,0,16,1968-08-12
1968,"33",3,5,49,0,139,16,21,1,0,16,0,3,2,18,25,0,0,7,0,4,5,27,49,3,2,0,5,0,0,0,4,5,0,0,5,37,0,5,0,13,3,0,35,77,32,8,16,5,23,92,0,9,1968-08-19
1968,"34",2,3,23,0,94,17,12,1,3,5,0,1,1,6,9,9,0,2,0,6,9,38,24,1,0,1,3,0,0,0,4,5,0,0,3,17,1,2,0,8,0,0,43,0,4,1,8,0,15,65,0,10,1968-08-26
1968,"35",0,6,13,1,60,11,20,1,1,17,0,7,3,0,11,21,0,2,3,0,6,33,15,1,0,1,1,0,0,0,1,5,0,0,1,8,0,5,0,10,0,0,31,59,7,6,1,5,11,54,0,10,1968-09-02
1968,"36",0,2,17,0,68,6,17,2,0,19,0,24,9,11,32,29,0,2,0,4,6,24,13,1,0,1,7,0,0,0,1,9,0,0,19,4,1,2,0,14,0,0,31,42,5,8,2,4,24,83,0,5,1968-09-09
1968,"37",5,12,13,0,53,31,12,2,0,5,0,5,6,15,14,35,0,3,0,6,13,35,35,0,0,1,10,1,0,2,8,5,0,0,17,4,2,2,0,7,0,0,29,61,4,6,8,29,10,95,0,17,1968-09-16
1968,"38",1,5,17,1,89,11,16,0,0,13,0,4,4,11,18,48,0,7,0,0,7,36,30,1,1,1,9,4,0,2,14,4,0,0,0,7,1,10,0,10,0,0,31,43,6,12,2,0,13,120,0,23,1968-09-23
1968,"39",2,9,25,0,118,17,10,1,1,22,0,5,2,11,12,52,0,5,0,2,6,41,55,0,0,2,7,1,0,8,6,7,0,0,5,10,1,13,0,3,0,0,12,59,8,3,7,45,33,85,0,14,1968-09-30
1968,"40",2,8,9,0,140,32,25,3,8,19,0,11,2,9,32,70,1,2,1,2,8,36,33,5,2,0,2,2,0,3,18,7,0,0,0,20,0,10,0,7,0,0,18,52,8,7,4,47,14,145,0,21,1968-10-07
1968,"41",1,5,15,0,219,28,13,3,0,27,0,0,3,50,33,98,0,10,1,13,11,56,44,1,0,1,6,2,0,2,9,11,0,0,17,17,1,1,0,9,0,0,16,73,14,23,2,66,55,120,0,29,1968-10-14
1968,"42",3,3,12,0,279,7,0,0,1,12,0,5,6,42,17,95,0,18,6,14,1,61,51,7,2,18,4,5,0,9,8,12,0,0,11,26,9,16,0,10,11,0,21,74,10,14,12,52,40,139,0,35,1968-10-21
1968,"43",1,27,12,0,204,15,38,0,1,41,0,1,14,14,23,100,7,117,1,4,10,39,71,0,2,0,16,2,0,0,12,18,0,0,2,31,2,3,0,7,4,0,22,59,10,30,6,55,24,173,0,18,1968-10-28
1968,"44",0,11,0,2,189,39,34,2,0,7,1,3,4,29,22,174,0,36,2,24,7,70,95,58,0,19,3,2,0,0,71,13,0,0,34,36,1,16,0,18,4,0,23,90,13,38,5,0,33,180,0,19,1968-11-04
1968,"45",0,30,25,0,276,33,77,3,6,36,0,0,3,32,36,136,0,20,0,16,16,85,126,1,2,3,0,4,0,0,47,24,0,0,8,36,1,18,0,10,19,0,30,116,10,30,5,115,47,153,0,31,1968-11-11
1968,"46",0,16,18,0,28,31,37,1,0,30,0,0,7,69,35,254,2,39,1,7,6,108,163,1,0,5,21,10,0,16,49,23,0,0,61,34,23,25,0,20,12,0,34,122,23,26,17,108,74,188,0,0,1968-11-18
1968,"47",0,14,11,0,334,36,61,2,0,39,0,4,0,97,48,194,2,41,13,21,14,98,195,0,0,29,4,11,0,19,33,25,0,0,19,30,3,29,0,32,24,0,35,80,7,20,11,119,73,197,1,23,1968-11-25
1968,"48",0,11,17,0,197,29,65,2,1,21,0,6,1,16,44,172,7,27,0,38,16,137,77,7,0,130,18,7,0,1,27,3,0,0,58,51,2,3,0,64,13,0,21,50,2,34,7,168,54,282,0,30,1968-12-02
1968,"49",1,46,57,0,353,27,57,8,6,27,0,14,6,82,0,186,30,20,0,51,18,100,85,0,0,5,2,9,0,2,148,43,0,0,44,30,1,12,0,36,17,0,64,172,18,88,7,122,50,190,0,26,1968-12-09
1968,"50",2,11,17,1,261,30,87,4,0,9,0,15,5,57,84,167,0,69,0,55,6,146,200,1,1,5,19,1,0,9,28,21,0,0,0,80,7,24,0,23,12,0,36,228,22,56,9,153,115,286,0,25,1968-12-16
1968,"51",2,13,23,0,233,38,135,1,0,0,0,10,2,0,153,289,0,28,0,28,28,180,153,3,1,2,9,18,0,0,85,24,0,0,26,60,27,24,0,0,24,0,25,0,5,1,5,172,63,288,0,18,1968-12-23
1968,"52",0,22,34,0,394,26,57,0,0,33,0,10,9,20,69,86,0,25,2,14,4,113,74,8,0,3,28,0,0,0,83,19,0,0,0,35,15,0,0,18,8,0,30,103,5,7,14,17,30,172,0,13,1968-12-30
1969,"01",3,0,0,0,118,11,57,0,0,29,0,12,0,14,42,56,0,37,0,32,23,62,37,0,1,7,32,6,0,0,35,28,0,0,9,31,3,14,0,32,22,0,21,185,1,54,2,14,32,130,0,2,1969-01-06
1969,"02",12,38,27,42,133,17,69,0,0,11,0,14,1,15,42,218,0,30,2,49,13,104,94,1,2,1,18,11,0,1,9,24,0,0,26,40,9,16,0,54,11,0,52,211,18,189,6,0,23,187,0,10,1969-01-13
1969,"03",6,1,35,0,257,39,86,0,0,21,0,2,27,150,96,157,0,29,0,36,16,147,94,31,6,5,53,11,0,13,54,64,0,0,8,55,0,18,0,79,30,0,33,225,3,7,20,107,40,353,0,0,1969-01-20
1969,"04",14,23,34,1,203,0,120,1,1,16,0,4,3,35,41,187,3,66,9,47,15,150,77,19,2,5,15,9,0,1,28,33,0,0,12,45,31,5,0,24,13,0,42,293,1,43,14,167,35,270,0,7,1969-01-27
1969,"05",28,3,48,3,279,34,97,6,0,39,0,11,0,42,14,188,2,16,4,28,11,104,98,13,3,2,25,29,0,7,50,47,0,0,22,39,0,27,0,45,30,0,24,223,2,39,0,83,54,273,0,25,1969-02-03
1969,"06",3,42,45,1,267,14,105,0,6,61,0,17,2,65,113,296,0,44,1,31,12,146,161,39,6,1,31,1,0,0,47,13,0,0,25,65,14,4,0,26,16,0,51,212,4,40,25,75,44,308,1,12,1969-02-10
